LATITUDE,LONGITUDE,VALUE,DATE(IST)
22.797222,72.57083,0.37,6/4/2012
22.797222,72.57083,0.31,22/4/2012
22.797222,72.57083,0.33,6/5/2012
22.797222,72.57083,0.34,22/5/2012
22.797222,72.57083,0.3,6/6/2012
22.797222,72.57083,0.3,22/6/2012
22.797222,72.57083,0.0,6/7/2012
22.797222,72.57083,0.0,22/7/2012
22.797222,72.57083,0.0,6/8/2012
22.797222,72.57083,0.0,22/8/2012
22.797222,72.57083,0.0,6/9/2012
22.797222,72.57083,0.57,22/9/2012
22.797222,72.57083,0.65,6/10/2012
22.797222,72.57083,0.62,22/10/2012
22.797222,72.57083,0.46,6/11/2012
22.797222,72.57083,0.4,22/11/2012
22.797222,72.57083,0.35,6/12/2012
22.797222,72.57083,0.35,22/12/2012
22.797222,72.57083,0.42,6/1/2013
22.797222,72.57083,0.49,22/1/2013
22.797222,72.57083,0.55,6/2/2013
22.797222,72.57083,0.54,22/2/2013
22.797222,72.57083,0.44,6/3/2013
22.797222,72.57083,0.37,22/3/2013
22.797222,72.57083,0.33,6/4/2013
22.797222,72.57083,0.35,22/4/2013
22.797222,72.57083,0.38,6/5/2013
22.797222,72.57083,0.36,22/5/2013
22.797222,72.57083,0.32,6/6/2013
22.797222,72.57083,0.41,22/6/2013
22.797222,72.57083,0.0,22/7/2013
22.797222,72.57083,0.72,6/9/2013
22.797222,72.57083,0.0,22/9/2013
22.797222,72.57083,0.62,6/10/2013
22.797222,72.57083,0.59,22/10/2013
22.797222,72.57083,0.42,6/11/2013
22.797222,72.57083,0.36,6/12/2013
22.797222,72.57083,0.36,22/12/2013
22.797222,72.57083,0.4,6/1/2014
22.797222,72.57083,0.52,22/1/2014
22.797222,72.57083,0.51,6/2/2014
22.797222,72.57083,0.61,22/2/2014
22.797222,72.57083,0.51,6/3/2014
22.797222,72.57083,0.41,22/3/2014
22.797222,72.57083,0.41,6/4/2014
22.797222,72.57083,0.39,6/5/2014
22.797222,72.57083,0.36,22/5/2014
22.797222,72.57083,0.32,6/6/2014
22.797222,72.57083,0.31,22/6/2014
22.797222,72.57083,0.28,6/7/2014
22.797222,72.57083,0.0,22/7/2014
22.797222,72.57083,0.28,6/8/2014
22.797222,72.57083,0.57,22/8/2014
22.797222,72.57083,0.37,6/9/2014
22.797222,72.57083,0.66,22/9/2014
22.797222,72.57083,0.61,6/10/2014
22.797222,72.57083,0.59,22/10/2014
22.797222,72.57083,0.44,6/11/2014
22.797222,72.57083,0.4,22/11/2014
22.797222,72.57083,0.37,6/12/2014
22.797222,72.57083,0.41,22/12/2014
22.797222,72.57083,0.41,6/1/2015
22.797222,72.57083,0.47,22/1/2015
22.797222,72.57083,0.55,6/2/2015
22.797222,72.57083,0.53,22/2/2015
22.797222,72.57083,0.48,6/3/2015
22.797222,72.57083,0.42,22/3/2015
22.797222,72.57083,0.38,6/4/2015
22.797222,72.57083,0.4,22/4/2015
22.797222,72.57083,0.36,6/5/2015
22.797222,72.57083,0.35,22/5/2015
22.797222,72.57083,0.35,6/6/2015
22.797222,72.57083,0.37,22/6/2015
22.797222,72.57083,0.33,6/7/2015
22.797222,72.57083,0.0,22/7/2015
22.797222,72.57083,0.22,6/8/2015
22.797222,72.57083,0.47,22/8/2015
22.797222,72.57083,0.59,6/9/2015
22.797222,72.57083,0.65,22/9/2015
22.797222,72.57083,0.64,6/10/2015
22.797222,72.57083,0.62,22/10/2015
22.797222,72.57083,0.5,6/11/2015
22.797222,72.57083,0.4,22/11/2015
22.797222,72.57083,0.38,6/12/2015
22.797222,72.57083,0.36,22/12/2015
22.797222,72.57083,0.4,6/1/2016
22.797222,72.57083,0.46,22/1/2016
22.797222,72.57083,0.5,6/2/2016
22.797222,72.57083,0.54,22/2/2016
22.797222,72.57083,0.5,6/3/2016
22.797222,72.57083,0.47,22/3/2016
22.797222,72.57083,0.37,6/4/2016
22.797222,72.57083,0.33,22/4/2016
22.797222,72.57083,0.36,6/5/2016
22.797222,72.57083,0.34,22/5/2016
22.797222,72.57083,0.34,6/6/2016
22.797222,72.57083,0.29,22/6/2016
22.797222,72.57083,0.27,6/7/2016
22.797222,72.57083,0.28,22/7/2016
22.797222,72.57083,0.0,6/8/2016
22.797222,72.57083,0.44,22/8/2016
22.797222,72.57083,0.72,6/9/2016
22.797222,72.57083,0.61,22/9/2016
22.797222,72.57083,0.63,6/10/2016
22.797222,72.57083,0.61,22/10/2016
22.797222,72.57083,0.46,6/11/2016
22.797222,72.57083,0.43,22/11/2016
22.797222,72.57083,0.37,6/12/2016
22.797222,72.57083,0.44,22/12/2016
22.797222,72.57083,0.37,6/1/2017
22.797222,72.57083,0.44,22/1/2017
22.797222,72.57083,0.51,6/2/2017
22.797222,72.57083,0.47,22/2/2017
22.797222,72.57083,0.53,6/3/2017
22.797222,72.57083,0.43,22/3/2017
22.797222,72.57083,0.41,6/4/2017
22.797222,72.57083,0.37,22/4/2017
22.797222,72.57083,0.4,6/5/2017
22.797222,72.57083,0.35,22/5/2017
22.797222,72.57083,0.32,6/6/2017
22.797222,72.57083,0.33,22/6/2017
22.797222,72.57083,0.62,6/9/2017
21.499166,70.44334,0.36,6/4/2012
21.499166,70.44334,0.39,22/4/2012
21.499166,70.44334,0.35,6/5/2012
21.499166,70.44334,0.34,22/5/2012
21.499166,70.44334,0.25,6/6/2012
21.499166,70.44334,0.37,22/6/2012
21.499166,70.44334,0.0,6/7/2012
21.499166,70.44334,0.0,22/7/2012
21.499166,70.44334,0.0,6/8/2012
21.499166,70.44334,0.0,22/8/2012
21.499166,70.44334,0.0,6/9/2012
21.499166,70.44334,0.54,22/9/2012
21.499166,70.44334,0.47,6/10/2012
21.499166,70.44334,0.46,22/10/2012
21.499166,70.44334,0.45,6/11/2012
21.499166,70.44334,0.42,22/11/2012
21.499166,70.44334,0.39,6/12/2012
21.499166,70.44334,0.44,22/12/2012
21.499166,70.44334,0.4,6/1/2013
21.499166,70.44334,0.41,22/1/2013
21.499166,70.44334,0.37,6/2/2013
21.499166,70.44334,0.33,22/2/2013
21.499166,70.44334,0.31,6/3/2013
21.499166,70.44334,0.28,22/3/2013
21.499166,70.44334,0.21,6/4/2013
21.499166,70.44334,0.31,22/4/2013
21.499166,70.44334,0.31,6/5/2013
21.499166,70.44334,0.34,22/5/2013
21.499166,70.44334,0.26,6/6/2013
21.499166,70.44334,0.3,22/6/2013
21.499166,70.44334,0.0,22/7/2013
21.499166,70.44334,0.55,6/9/2013
21.499166,70.44334,0.39,22/9/2013
21.499166,70.44334,0.4,6/10/2013
21.499166,70.44334,0.54,22/10/2013
21.499166,70.44334,0.43,6/11/2013
21.499166,70.44334,0.43,6/12/2013
21.499166,70.44334,0.39,22/12/2013
21.499166,70.44334,0.46,6/1/2014
21.499166,70.44334,0.4,22/1/2014
21.499166,70.44334,0.41,6/2/2014
21.499166,70.44334,0.45,22/2/2014
21.499166,70.44334,0.26,6/3/2014
21.499166,70.44334,0.26,22/3/2014
21.499166,70.44334,0.3,6/4/2014
21.499166,70.44334,0.32,6/5/2014
21.499166,70.44334,0.28,22/5/2014
21.499166,70.44334,0.3,6/6/2014
21.499166,70.44334,0.35,22/6/2014
21.499166,70.44334,0.28,6/7/2014
21.499166,70.44334,0.0,22/7/2014
21.499166,70.44334,0.32,6/8/2014
21.499166,70.44334,0.39,22/8/2014
21.499166,70.44334,0.0,6/9/2014
21.499166,70.44334,0.38,22/9/2014
21.499166,70.44334,0.54,6/10/2014
21.499166,70.44334,0.54,22/10/2014
21.499166,70.44334,0.44,6/11/2014
21.499166,70.44334,0.46,22/11/2014
21.499166,70.44334,0.46,6/12/2014
21.499166,70.44334,0.42,22/12/2014
21.499166,70.44334,0.44,6/1/2015
21.499166,70.44334,0.31,22/1/2015
21.499166,70.44334,0.37,6/2/2015
21.499166,70.44334,0.42,22/2/2015
21.499166,70.44334,0.33,6/3/2015
21.499166,70.44334,0.24,22/3/2015
21.499166,70.44334,0.28,6/4/2015
21.499166,70.44334,0.34,22/4/2015
21.499166,70.44334,0.31,6/5/2015
21.499166,70.44334,0.34,22/5/2015
21.499166,70.44334,0.28,6/6/2015
21.499166,70.44334,0.28,22/6/2015
21.499166,70.44334,0.25,6/7/2015
21.499166,70.44334,0.0,22/7/2015
21.499166,70.44334,0.0,6/8/2015
21.499166,70.44334,0.48,22/8/2015
21.499166,70.44334,0.33,6/9/2015
21.499166,70.44334,0.42,22/9/2015
21.499166,70.44334,0.51,6/10/2015
21.499166,70.44334,0.43,22/10/2015
21.499166,70.44334,0.32,6/11/2015
21.499166,70.44334,0.32,22/11/2015
21.499166,70.44334,0.36,6/12/2015
21.499166,70.44334,0.31,22/12/2015
21.499166,70.44334,0.43,6/1/2016
21.499166,70.44334,0.34,22/1/2016
21.499166,70.44334,0.38,6/2/2016
21.499166,70.44334,0.36,22/2/2016
21.499166,70.44334,0.26,6/3/2016
21.499166,70.44334,0.31,22/3/2016
21.499166,70.44334,0.21,6/4/2016
21.499166,70.44334,0.28,22/4/2016
21.499166,70.44334,0.31,6/5/2016
21.499166,70.44334,0.28,22/5/2016
21.499166,70.44334,0.3,6/6/2016
21.499166,70.44334,0.22,22/6/2016
21.499166,70.44334,0.0,6/7/2016
21.499166,70.44334,0.0,22/7/2016
21.499166,70.44334,0.0,6/8/2016
21.499166,70.44334,0.0,22/8/2016
21.499166,70.44334,0.43,6/9/2016
21.499166,70.44334,0.43,22/9/2016
21.499166,70.44334,0.37,6/10/2016
21.499166,70.44334,0.46,22/10/2016
21.499166,70.44334,0.36,6/11/2016
21.499166,70.44334,0.49,22/11/2016
21.499166,70.44334,0.32,6/12/2016
21.499166,70.44334,0.39,22/12/2016
21.499166,70.44334,0.32,6/1/2017
21.499166,70.44334,0.38,22/1/2017
21.499166,70.44334,0.4,6/2/2017
21.499166,70.44334,0.37,22/2/2017
21.499166,70.44334,0.3,6/3/2017
21.499166,70.44334,0.26,22/3/2017
21.499166,70.44334,0.32,6/4/2017
21.499166,70.44334,0.3,22/4/2017
21.499166,70.44334,0.3,6/5/2017
21.499166,70.44334,0.29,22/5/2017
21.499166,70.44334,0.26,6/6/2017
21.499166,70.44334,0.0,22/6/2017
21.499166,70.44334,0.41,6/9/2017
23.801111,69.50166,0.42,6/4/2012
23.801111,69.50166,0.36,22/4/2012
23.801111,69.50166,0.32,6/5/2012
23.801111,69.50166,0.29,22/5/2012
23.801111,69.50166,0.13,6/6/2012
23.801111,69.50166,0.21,22/6/2012
23.801111,69.50166,0.33,6/7/2012
23.801111,69.50166,0.22,22/7/2012
23.801111,69.50166,0.17,6/8/2012
23.801111,69.50166,0.11,22/8/2012
23.801111,69.50166,0.38,6/9/2012
23.801111,69.50166,0.31,22/9/2012
23.801111,69.50166,0.21,6/10/2012
23.801111,69.50166,0.26,22/10/2012
23.801111,69.50166,0.36,6/11/2012
23.801111,69.50166,0.36,22/11/2012
23.801111,69.50166,0.26,6/12/2012
23.801111,69.50166,0.32,22/12/2012
23.801111,69.50166,0.22,6/1/2013
23.801111,69.50166,0.28,22/1/2013
