LATITUDE,LONGITUDE,VALUE,DATE(IST),AIR_TEMPERATURE,SOIL_TEMPERATURE,SOIL_MOISTURE,RAINFALL
16.779,75.75,0.31,6/2/2014,25.75,25.2,0.0,0.0
16.779,75.75,0.46,22/9/2014,1.5,-40.0,0.0,6.0
16.779,75.75,0.48,22/10/2014,30.5,29.4,-1.3,4.0
16.779,75.75,0.45,6/11/2014,22.55,25.6,4.8,0.0
16.779,75.75,0.49,22/11/2014,28.05,0.0,0.0,0.0
16.779,75.75,0.48,6/12/2014,19.4,18.5,2.2,0.0
16.779,75.75,0.4,22/12/2014,17.55,16.8,6.1,32.0
16.779,75.75,0.26,6/4/2015,24.9,30.8,4.0,0.0
16.779,75.75,0.25,22/4/2015,24.95,31.3,7.2,0.0
16.779,75.75,0.33,6/5/2015,19.05,30.0,4.7,0.0
16.779,75.75,0.34,22/5/2015,22.55,33.0,5.2,0.0
16.779,75.75,0.27,6/6/2015,20.8,29.4,7.4,0.0
16.779,75.75,0.32,22/6/2015,18.0,24.0,8.9,0.0
16.779,75.75,0.29,6/7/2015,19.55,29.1,6.2,0.0
16.779,75.75,0.19,22/8/2015,24.95,28.7,9.0,2.5
16.779,75.75,0.34,6/9/2015,24.5,29.8,9.1,2.5
16.779,75.75,0.3,22/9/2015,25.0,28.2,11.6,62.5
16.779,75.75,0.52,6/10/2015,24.15,27.3,16.6,69.0
16.779,75.75,0.49,22/10/2015,23.65,30.1,8.6,69.0
16.779,75.75,0.46,6/11/2015,23.6,30.0,7.4,69.0
16.779,75.75,0.44,22/11/2015,22.75,27.4,6.8,69.0
16.779,75.75,0.38,6/12/2015,18.2,26.5,7.6,69.0
16.779,75.75,0.38,22/12/2015,24.9,29.0,6.7,69.0
16.779,75.75,0.37,6/1/2016,19.05,26.4,6.2,69.0
16.779,75.75,0.33,22/1/2016,21.95,26.5,6.2,69.0
16.779,75.75,0.29,6/2/2016,23.2,28.5,6.0,69.0
16.779,75.75,0.34,22/2/2016,28.4,32.3,6.1,69.0
16.779,75.75,0.28,6/3/2016,23.8,28.6,10.6,69.0
16.779,75.75,0.31,22/3/2016,31.5,32.3,8.0,69.0
16.779,75.75,0.27,6/4/2016,26.2,32.7,6.2,69.0
16.779,75.75,0.35,22/4/2016,31.15,37.4,6.2,69.0
16.779,75.75,0.28,6/5/2016,33.1,34.9,7.4,69.5
16.779,75.75,0.33,22/5/2016,27.9,32.7,7.6,69.5
16.779,75.75,0.23,6/6/2016,26.1,26.9,11.5,69.5
16.779,75.75,0.14,22/6/2016,25.05,28.5,8.8,69.5
16.779,75.75,0.0,6/7/2016,25.2,28.2,8.1,69.5
16.779,75.75,0.0,22/7/2016,23.85,25.5,11.4,69.5
16.779,75.75,0.39,6/8/2016,23.65,24.8,11.9,69.5
16.779,75.75,0.31,22/8/2016,24.25,26.6,8.8,69.5
16.779,75.75,0.0,6/9/2016,24.35,28.0,8.6,69.5
16.779,75.75,0.43,22/9/2016,22.5,24.8,16.1,69.5
17.340279000000002,78.592224,0.28,6/4/2012,29.1,32.9,0.0,414.0
17.340279000000002,78.592224,0.27,22/4/2012,30.15,33.8,0.0,424.0
17.340279000000002,78.592224,0.26,6/5/2012,27.7,34.0,0.0,426.0
17.340279000000002,78.592224,0.3,22/5/2012,30.55,32.0,4.0,438.0
17.340279000000002,78.592224,0.3,6/6/2012,26.6,32.1,0.0,438.0
17.340279000000002,78.592224,0.38,22/6/2012,26.1,25.3,0.0,12.0
17.340279000000002,78.592224,0.42,6/7/2012,28.2,31.1,0.0,24.0
17.340279000000002,78.592224,0.42,22/7/2012,23.55,24.6,0.0,184.0
17.340279000000002,78.592224,0.27,6/8/2012,25.8,25.3,12.0,0.0
17.340279000000002,78.592224,0.54,22/8/2012,24.45,26.0,11.0,26.0
17.340279000000002,78.592224,0.58,6/9/2012,24.9,25.9,14.0,98.0
17.340279000000002,78.592224,0.33,22/9/2012,23.65,26.4,17.0,223.0
17.340279000000002,78.592224,0.62,6/10/2012,23.85,25.7,14.0,282.0
17.340279000000002,78.592224,0.39,22/1/2013,24.05,25.0,0.0,352.0
17.340279000000002,78.592224,0.4,6/2/2013,26.25,28.2,0.0,352.0
17.340279000000002,78.592224,0.35,22/2/2013,29.9,34.9,0.0,361.0
17.340279000000002,78.592224,0.4,6/3/2013,28.85,31.6,0.0,361.0
17.340279000000002,78.592224,0.26,22/3/2013,36.95,40.0,0.0,361.0
17.340279000000002,78.592224,0.36,6/4/2013,27.1,30.0,7.0,370.0
17.340279000000002,78.592224,0.31,6/5/2013,26.7,27.6,0.0,386.0
17.340279000000002,78.592224,0.59,22/9/2013,25.0,26.0,0.0,0.0
17.340279000000002,78.592224,0.63,6/10/2013,26.2,29.7,0.0,0.0
17.340279000000002,78.592224,0.56,6/11/2013,22.15,24.1,0.0,0.0
17.340279000000002,78.592224,0.43,6/2/2014,23.65,25.6,0.0,0.0
17.340279000000002,78.592224,0.38,22/2/2014,21.55,24.2,0.0,0.0
17.340279000000002,78.592224,0.45,6/3/2014,20.5,20.6,0.0,10.0
17.340279000000002,78.592224,0.45,22/3/2014,26.55,28.1,0.0,10.0
17.340279000000002,78.592224,0.4,6/4/2014,25.25,27.9,0.0,10.0
17.340279000000002,78.592224,0.45,6/5/2014,24.05,27.0,0.0,18.0
17.340279000000002,78.592224,0.38,22/5/2014,29.9,30.5,0.0,22.0
17.340279000000002,78.592224,0.41,6/6/2014,29.6,30.7,0.0,30.0
17.340279000000002,78.592224,0.3,22/6/2014,28.7,30.8,0.0,31.0
17.340279000000002,78.592224,0.26,6/7/2014,29.4,-40.0,0.0,2.0
17.340279000000002,78.592224,0.4,22/7/2014,24.45,23.6,0.0,8.0
17.340279000000002,78.592224,0.43,6/8/2014,24.25,23.6,0.0,17.0
17.340279000000002,78.592224,0.41,22/8/2014,27.65,28.0,0.0,21.0
17.340279000000002,78.592224,0.39,6/9/2014,25.85,27.0,0.0,34.0
17.340279000000002,78.592224,0.53,22/9/2014,25.35,25.3,0.0,44.0
17.340279000000002,78.592224,0.49,6/10/2014,25.9,27.7,0.0,44.0
17.340279000000002,78.592224,0.49,22/10/2014,22.55,25.2,0.0,50.0
17.340279000000002,78.592224,0.44,6/11/2014,20.25,22.3,0.0,56.0
17.340279000000002,78.592224,0.38,22/11/2014,20.9,22.0,0.0,57.0
17.340279000000002,78.592224,0.38,6/12/2014,17.9,19.3,0.0,57.0
