LATITUDE,LONGITUDE,DATE(IST),AIR_TEMPERATURE,SOIL_TEMPERATURE,SOIL_MOISTURE,RAINFALL
16.779,75.75,30/1/2014,21.35,24.0,0.0,76.0
16.779,75.75,31/1/2014,19.7,19.7,0.0,0.0
16.779,75.75,1/2/2014,19.65,20.0,0.0,0.0
16.779,75.75,2/2/2014,20.15,19.9,0.0,0.0
16.779,75.75,3/2/2014,20.55,20.6,0.0,0.0
16.779,75.75,4/2/2014,20.5,21.5,0.0,0.0
16.779,75.75,5/2/2014,20.95,21.4,0.0,0.0
16.779,75.75,6/2/2014,25.75,25.2,0.0,0.0
16.779,75.75,7/2/2014,22.5,21.8,0.0,0.0
16.779,75.75,8/2/2014,23.5,22.0,0.0,0.0
16.779,75.75,18/9/2014,1.5,-40.0,0.0,0.0
16.779,75.75,19/9/2014,1.45,-40.0,0.0,6.0
16.779,75.75,20/9/2014,1.4,-40.0,0.2,6.0
16.779,75.75,22/9/2014,1.5,-40.0,0.0,6.0
16.779,75.75,24/9/2014,1.65,-40.0,0.0,6.0
16.779,75.75,8/10/2014,2.0,-40.0,0.0,0.0
16.779,75.75,11/10/2014,30.25,29.7,1.1,6.0
16.779,75.75,13/10/2014,0.0,0.0,0.0,6.0
16.779,75.75,15/10/2014,31.5,30.3,-1.2,6.0
16.779,75.75,16/10/2014,31.8,30.1,-1.2,6.0
16.779,75.75,17/10/2014,30.95,29.9,-1.2,6.0
16.779,75.75,18/10/2014,30.8,30.0,-1.2,8.0
16.779,75.75,19/10/2014,34.15,30.2,-1.3,32.0
16.779,75.75,20/10/2014,32.0,29.7,-1.3,32.0
16.779,75.75,21/10/2014,31.1,30.1,1.4,1.0
16.779,75.75,22/10/2014,30.5,29.4,-1.3,4.0
16.779,75.75,25/10/2014,29.1,29.1,1.2,1.0
16.779,75.75,27/10/2014,24.8,24.9,1.2,0.0
16.779,75.75,30/10/2014,-7.2,24.2,4.8,0.0
16.779,75.75,31/10/2014,20.5,24.4,4.8,0.0
16.779,75.75,4/11/2014,28.6,25.3,4.8,0.0
16.779,75.75,5/11/2014,21.8,25.4,4.8,0.0
16.779,75.75,6/11/2014,22.55,25.6,4.8,0.0
16.779,75.75,7/11/2014,35.2,25.4,4.8,0.0
16.779,75.75,10/11/2014,28.0,0.0,0.0,0.0
16.779,75.75,11/11/2014,24.1,0.0,0.0,0.0
16.779,75.75,12/11/2014,23.8,0.0,0.0,0.0
16.779,75.75,13/11/2014,24.5,0.0,0.0,0.0
16.779,75.75,14/11/2014,22.25,0.0,0.0,0.0
16.779,75.75,22/11/2014,28.05,0.0,0.0,0.0
16.779,75.75,23/11/2014,27.2,27.3,1.0,0.0
16.779,75.75,24/11/2014,27.0,27.0,1.0,0.0
16.779,75.75,25/11/2014,26.85,27.0,1.1,0.0
16.779,75.75,26/11/2014,26.75,26.7,0.0,0.0
16.779,75.75,27/11/2014,26.25,26.1,1.0,0.0
16.779,75.75,28/11/2014,25.9,25.8,1.0,0.0
16.779,75.75,29/11/2014,25.8,25.8,1.0,0.0
16.779,75.75,30/11/2014,21.05,18.4,4.2,0.0
16.779,75.75,1/12/2014,20.7,18.9,3.2,0.0
16.779,75.75,2/12/2014,19.8,18.6,2.8,0.0
16.779,75.75,3/12/2014,20.45,19.4,2.6,0.0
16.779,75.75,4/12/2014,20.1,18.2,2.2,0.0
16.779,75.75,5/12/2014,19.8,18.9,2.2,0.0
16.779,75.75,6/12/2014,19.4,18.5,2.2,0.0
16.779,75.75,7/12/2014,20.1,19.1,2.1,0.0
16.779,75.75,8/12/2014,20.25,19.0,2.2,0.0
16.779,75.75,9/12/2014,21.8,20.5,2.2,0.0
16.779,75.75,10/12/2014,22.65,22.0,2.2,0.0
16.779,75.75,11/12/2014,23.1,22.4,2.2,0.0
16.779,75.75,12/12/2014,27.15,28.0,2.5,0.0
16.779,75.75,13/12/2014,22.7,22.2,2.3,0.0
16.779,75.75,15/12/2014,31.45,32.7,4.0,4.0
16.779,75.75,16/12/2014,23.2,23.4,3.7,2.0
16.779,75.75,17/12/2014,19.9,20.0,3.6,12.0
16.779,75.75,18/12/2014,16.75,16.5,3.3,0.0
16.779,75.75,19/12/2014,18.05,15.7,7.6,0.0
16.779,75.75,20/12/2014,17.35,15.9,6.8,0.0
16.779,75.75,21/12/2014,17.1,16.1,6.4,32.0
16.779,75.75,22/12/2014,17.55,16.8,6.1,32.0
16.779,75.75,23/12/2014,18.4,17.8,5.8,32.0
16.779,75.75,24/12/2014,19.0,18.8,5.5,32.0
16.779,75.75,25/12/2014,19.1,18.4,0.0,32.0
16.779,75.75,26/12/2014,18.7,18.2,4.9,32.0
16.779,75.75,27/12/2014,17.15,16.8,4.7,32.0
16.779,75.75,28/12/2014,16.6,16.4,4.6,32.0
16.779,75.75,29/12/2014,17.6,17.3,4.5,32.0
16.779,75.75,9/2/2015,-40.0,-40.0,0.0,0.0
16.779,75.75,10/2/2015,-40.0,-40.0,0.0,0.0
16.779,75.75,11/2/2015,-35.75,-40.0,0.0,0.0
16.779,75.75,12/2/2015,-35.75,-40.0,0.0,0.0
16.779,75.75,13/2/2015,-33.15,-40.0,0.0,0.0
16.779,75.75,14/2/2015,-35.7,-40.0,0.0,0.0
16.779,75.75,15/2/2015,-35.7,-40.0,0.0,0.0
16.779,75.75,16/2/2015,-34.15,-40.0,0.0,0.0
16.779,75.75,17/2/2015,-35.7,-40.0,0.0,0.0
16.779,75.75,12/3/2015,32.75,0.0,0.0,0.0
16.779,75.75,13/3/2015,19.05,25.1,5.8,0.0
16.779,75.75,14/3/2015,0.0,0.0,0.0,0.0
16.779,75.75,15/3/2015,19.05,27.3,5.9,0.0
16.779,75.75,16/3/2015,21.65,28.0,6.0,0.0
16.779,75.75,17/3/2015,21.95,27.4,5.9,0.0
16.779,75.75,27/3/2015,30.65,30.9,5.9,0.0
16.779,75.75,28/3/2015,23.05,29.3,4.4,0.0
